序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
42,58,深赛格,深圳赛格股份有限公司,广东,深圳市,20.30亿,3.08亿,11590,1996-12-26,--,,专业市场,电子市场流通、智慧城市及城市服务、检验检测业务、新能源业务,以通信市场、电子专业市场为核心的电子市场流通业务，以检验检测与新能源为核心的战略性新兴业务，以物业经营及管理服务为核心的智慧城市及城市服务业务。
43,59,华锦股份,北方华锦化学工业股份有限公司,辽宁,盘锦市,337.14亿,19.41亿,8056,1997-01-30,--,,石油加工,原油加工及石油制品、聚烯烃类产品,石油化工产品、化学肥料的生产与销售。
44,60,中金岭南,深圳市中金岭南有色金属股份有限公司,广东,深圳市,190.16亿,10.94亿,9664,1997-01-23,--,,铅锌,精矿产品、冶炼产品、铝型材、幕墙门窗、电池材料、有色金属贸易业务,铅锌铜等有色金属的采矿、选矿、冶炼和深加工。
45,61,农产品,深圳市农产品集团股份有限公司,广东,深圳市,24.46亿,6117.25万,4807,1997-01-10,--,,专业市场,农产品流通、农产品供应链服务、农产品电子商务,农产品批发市场的开发、建设、经营和管理，大宗农产品电子交易和蔬菜种植等。
46,62,深圳华强,深圳华强实业股份有限公司,广东,深圳市,85.46亿,4.64亿,2246,1997-01-30,--,,专业市场,电子元器件授权分销分部、电子元器件产业互联网分部、电子元器件及电子终端产品实体交易市场分部、物业经营及其他分部,面向电子信息产业链的现代高端服务业，为产业链上的各环节提供线上线下交易服务、产品服务、技术服务、信息服务、数据服务和创新创业配套等服务，打造面向电子信息产业的国内一流线下、线上交易服务平台。
47,63,中兴通讯,中兴通讯股份有限公司,广东,深圳市,1088.15亿,53.86亿,73191,1997-11-18,--,,通信传输设备,运营商网络、消费者业务、政企业务,致力于为客户提供满意的ICT产品及解决方案，集“设计、开发、生产、销售、服务”等一体，聚焦于“运营商网络、政企业务、消费者业务”。
48,65,北方国际,北方国际合作股份有限公司,北京,北京市,97.30亿,5.43亿,1911,1998-06-05,--,,专业工程,国际工程承包、国内建筑工程、货物贸易、货运代理、金属包装容器、发电收入、其他,国际工程承包、国内建筑工程、重型装备出口贸易、物流服务、物流自动化设备系统集成服务、太阳能产品贸易及新能源项目开发、大宗商品贸易和金属包装容器的生产和销售。
49,66,中国长城,中国长城科技集团股份有限公司,广东,深圳市,95.07亿,6.96亿,16838,1997-06-26,--,,PC、服务器及硬件,高新电子、信息安全整机及解决方案、电源产品、园区及物业服务,计算机及相关设备制造，高新电子业务，涉及军事通信、卫星与定位导航、海洋信息安全产业及军用自主可控计算机及网络等领域。
50,68,华控赛格,深圳华控赛格股份有限公司,广东,深圳市,4.13亿,3264.41万,672,1997-06-11,--,,环保材料,环保、贸易业务、建筑工程,海绵城市建设、水务工程、智慧水务建设运营、EPC总承包和工程咨询设计及新开展的设备和大宗商品贸易等相关业务。
51,69,华侨城A,深圳华侨城股份有限公司,广东,深圳市,423.41亿,93.18亿,24526,1997-09-10,--,,景区,旅游综合业务、房地产,文化旅游业务、房地产业务。
52,70,特发信息,深圳市特发信息股份有限公司,广东,深圳市,54.73亿,2.41亿,2773,2000-05-11,--,,通信传输设备,光纤光缆、智能接入、军工信息化、智慧服务,“光纤光缆+智能接入+军工信息化+智能服务”四大产业的研发、生产和销售。
53,78,海王生物,深圳市海王生物工程股份有限公司,广东,深圳市,249.40亿,8.24亿,9657,1998-12-18,--,,医药商业,医药商业、医药制造及食品、保健品,生物制品、生化制品、海洋药物、海洋生物制品、中成药的生产销售。
54,88,盐田港,深圳市盐田港股份有限公司,广东,深圳市,3.44亿,4.33亿,847,1997-07-28,--,,港口,高速公路收费、港口货物装卸运输、仓储及其他服务,投资港口货物装卸与运输业务，码头建设工程管理，收费高速公路经营管理，海关监管仓和其他港口配套仓储经营。
55,89,深圳机场,深圳市机场股份有限公司,广东,深圳市,33.20亿,6.75亿,4935,1998-04-20,--,,机场,航空主业、航空增值、航空物流、航空广告,航空主业以及航空主业延伸出的非航空业务。
56,90,天健集团,深圳市天健(集团)股份有限公司,广东,深圳市,67.50亿,5.98亿,12534,1999-07-21,--,,专业工程,城市建设、综合开发、城市服务,提供商品住宅的开发及销售、工程施工劳务、物业租赁服务、物业管理服务、商业运营及服务。
57,96,广聚能源,深圳市广聚能源股份有限公司,广东,深圳市,12.43亿,1.55亿,325,2000-07-24,--,,石油天然气贸易,成品油、液化石油气、危险化学品,"成品油批发零售,化学品贸易,电力投资。"
58,99,中信海直,中信海洋直升机股份有限公司,广东,深圳市,12.70亿,9557.90万,1046,2000-07-31,--,,航空,海上石油、港口引航、陆上通航、通航维修、应急救援、海上风电,海上石油、港口引航、陆上通航、通航维修、应急救援、海上风电。
59,100,TCL科技,TCL科技集团股份有限公司,广东,惠州市,1117.27亿,35.45亿,65159,2004-01-30,--,,电视机,半导体显示业务、半导体光伏及半导体材料业务、产业金融及投资平台,"半导体显示业务,半导体光伏及半导体材料业务,产业金融及投资平台和其他业务"
60,150,*ST宜康,宜华健康医疗股份有限公司,广东,汕头市,21.16亿,1.84亿,7801,2000-08-07,--,,医疗服务,医疗机构投资及运营业务、养老社区投资及运营业务、医疗后勤服务业务、医疗专业工程业务,医疗机构运营及服务和养老社区运营及服务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
61,151,中成股份,中成进出口股份有限公司,北京,北京市,22.29亿,8843.59万,1154,2000-09-06,--,,贸易,成套设备出口和工程承包、一般贸易、境外实业经营,成套设备与技术进出口、一般贸易和境外经营。
62,153,丰原药业,安徽丰原药业股份有限公司,安徽,合肥市,25.78亿,6534.81万,4538,2000-09-20,--,,化学制剂,注射剂、粉针类、散剂、片剂、胶囊剂、颗粒剂、贴剂、原料药,生物药、化学药及中药的研发、生产和销售；医药配送和药房零售。
63,155,川能动力,四川省新能源动力股份有限公司,四川,成都市,65.09亿,3.82亿,2933,2000-09-26,--,,氮肥,新能源综合服务业务、电力销售,新能源发电业务，即风力发电、光伏发电项目开发、建设和运营。
64,156,华数传媒,华数传媒控股股份有限公司,浙江,杭州市,32.09亿,6.41亿,12057,2000-09-06,--,,有线电视,信息传播,有线电视网络业务、全国范围内的新媒体业务、宽带网络及智慧城市业务等。
65,157,中联重科,中联重科股份有限公司,湖南,长沙市,232.73亿,12.48亿,26036,2000-10-12,--,,工程机械,工程机械、农业机械、金融服务,工程机械和农业机械的研发、制造、销售和服务。
66,158,常山北明,石家庄常山北明科技股份有限公司,河北,石家庄市,112.54亿,3.55亿,5068,2000-07-24,--,,棉纺,纺织、软件和信息技术服务,软件及信息技术服务和纺织两大板块。
67,159,国际实业,新疆国际实业股份有限公司,新疆,乌鲁木齐市,3.56亿,-7113.14万,547,2000-09-26,--,,石油天然气贸易,油品销售、房地产销售、仓储服务,油品等能源产品的采购、批发、仓储、铁路专运。
68,166,申万宏源,申万宏源集团股份有限公司,新疆,乌鲁木齐市,133.68亿,47.26亿,11547,2015-01-26,--,,证券,企业金融业务、个人金融业务、机构服务及交易业务、投资管理业务,金融投资、股权投资等。
69,301,东方盛虹,江苏东方盛虹股份有限公司,江苏,苏州市,162.99亿,14.29亿,24458,2000-05-29,--,,火电,化纤、石化、热电,民用涤纶长丝的研发、生产和销售以及PTA、热电的生产、销售等。
70,333,美的集团,美的集团股份有限公司,广东,佛山市,2419.19亿,186.11亿,165799,2013-09-18,--,,空调、小家电,制造业,以家电产业为主，涉足电机、物流等领域，旗下分为四大业务板块，分别为大家电、小家电、电机及物流。
71,338,潍柴动力,潍柴动力股份有限公司,山东,潍坊市,1515.69亿,91.78亿,82555,2007-04-30,--,,汽车零部件,动力总成、整车整机及关键零部件、智能物流、其他零部件,研究、生产及销售发动机及其零部件、重型汽车、重型汽车车桥、变速箱及其他汽车零部件等业务
72,400,许继电气,许继电气股份有限公司,河南,许昌市,103.29亿,6.82亿,5458,1997-04-18,--,,电气自控设备,智能变配电系统、智能中压供用电设备、智能电表、电动汽车智能充换电系统、直流输电系统、EMS加工服务,从事电力系统二次设备和一次设备的研制、销售
73,401,冀东水泥,唐山冀东水泥股份有限公司,河北,唐山市,251.68亿,9.40亿,22893,1996-06-14,--,,水泥,硅酸盐水泥、专用水泥、特种水泥,生产和销售水泥熟料、各类硅酸盐水泥和与水泥相关的建材产品，同时涵盖砂石骨料、环保、矿粉、外加剂等产业（业务）。
74,402,金融街,金融街控股股份有限公司,北京,北京市,255.19亿,41.03亿,3305,1996-06-26,--,,房地产开发,房产开发、物业租赁、物业经营,房地产开发和经营。
75,403,派林生物,派斯双林生物制药股份有限公司,山西,太原市,6.85亿,1524.47万,1627,1996-06-28,--,,生物医药,血液制品、细胞培养基,血液制品的研究、开发、生产和销售。
76,404,长虹华意,长虹华意压缩机股份有限公司,江西,景德镇市,81.14亿,2.12亿,7581,1996-06-19,--,,压缩机,压缩机 、原材料及配件、智能扫地机 、电池,冰箱压缩机、商用压缩机的研发、生产和销售。
77,407,胜利股份,山东胜利股份有限公司,山东,济南市,38.28亿,1.23亿,2091,1996-07-03,--,,燃气,天然气终端销售、天然气贸易、装备材料制造、油品贸易,清洁能源天然气业务推广和应用。
78,408,藏格矿业,藏格矿业股份有限公司,青海,海西蒙古族藏族自治州,31.73亿,12.17亿,1548,1996-06-28,--,,钾肥,生产农用复合肥料、贸易业务,氯化钾、碳酸锂的研发、生产与销售。
79,409,云鼎科技,云鼎科技股份有限公司,山东,济南市,14.30亿,-2.71亿,643,1996-06-27,--,,综合,智能矿山系统解决方案、工业智能产品、“北斗+”智慧产品、ERP实施和运维服务、煤气化技术及其相关应用的系统整体方案,信息化技术服务和煤气化技术推广业务。
80,410,*ST沈机,沈阳机床股份有限公司,辽宁,沈阳市,41.89亿,1.08亿,3171,1996-07-18,--,,机床设备,机床、机床配套,产品研发、机床制造、销售服务、行业解决方案、机床零部件配套等。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
81,411,英特集团,浙江英特集团股份有限公司,浙江,杭州市,189.07亿,1.91亿,2800,1996-07-16,--,,医药商业,医药批发、医药零售,药品、医疗器械批发及零售业务。
82,413,东旭光电,东旭光电科技股份有限公司,河北,石家庄市,172.77亿,19.21亿,3718,1996-09-25,--,,显示器件,光电显示材料、装备及技术服务、石墨烯产业化应用、新能源汽车、建筑安装、电子通讯产品,光电显示材料、高端装备制造、新能源汽车制造。
83,415,渤海租赁,渤海租赁股份有限公司,新疆,乌鲁木齐市,359.34亿,31.56亿,595,1996-07-16,--,,其他非银行金融,融资租赁、融资租赁咨询、经营租赁、集装箱租赁、集装箱销售、飞机销售、飞机租赁,为境内外客户提供全方位的飞机租赁、集装箱租赁、基础设施租赁、大型设备租赁等租赁服务。
84,416,民生控股,民生控股股份有限公司,山东,青岛市,7141.84万,2976.15万,47,1996-07-19,--,,其他非银行金融,典当业务、保险经纪业务、商品零售、其他,典当业务及保险经纪业务。
85,417,合肥百货,合肥百货大楼集团股份有限公司,安徽,合肥市,103.90亿,2.96亿,8166,1996-08-12,--,,百货,百货业（含家电）、超市业、农产品交易市场、房地产,零售业、农产品交易市场两大类业务。
86,419,通程控股,长沙通程控股股份有限公司,湖南,长沙市,40.45亿,1.48亿,1599,1996-08-16,--,,百货,商业零售、酒店旅游,商业零售、酒店旅游、典当、保理。
87,420,吉林化纤,吉林化纤股份有限公司,吉林,吉林市,21.98亿,8542.14万,5120,1996-08-02,--,,粘胶纤维,粘胶长丝、醋酐、粘胶短纤、亚硫酸氢钠,粘胶纤维的生产和销售。
88,421,南京公用,南京公用发展股份有限公司,江苏,南京市,36.09亿,2.49亿,3061,1996-08-06,--,,燃气,汽车营运、房产开发、汽车销售、旅游服务、燃气销售、工程施工,燃气销售、房地产开发及客运产业。
89,422,湖北宜化,湖北宜化化工股份有限公司,湖北,宜昌市,119.55亿,-51.52亿,7998,1996-08-15,--,,氮肥,尿素、精细化工产品、电力产品、氯碱产品、聚氯乙烯、磷酸二铵、贸易业务,化肥产品(尿素、磷酸二铵等)、化工产品(聚氯乙烯、烧碱等)的生产、销售。
90,423,东阿阿胶,东阿阿胶股份有限公司,山东,聊城市,73.72亿,20.44亿,4180,1996-07-29,--,,中药生产,阿胶及系列产品、医药贸易、其他药品及保健品、毛驴养殖及销售、其他,从事阿胶及阿胶系列产品的研发、生产和销售。
91,425,徐工机械,徐工集团工程机械股份有限公司,江苏,徐州市,291.31亿,10.29亿,15483,1996-08-28,--,,工程机械,工程机械,主要从事工程起重机械、铲运机械、压实机械、混凝土机械、路面机械、消防机械、其他工程机械及工程机械备件的研发、制造和销售。
92,426,兴业矿业,内蒙古兴业矿业股份有限公司,内蒙古,赤峰市,21.11亿,5.54亿,673,1996-08-28,--,,铅锌,锌精粉、铁精粉、铅精粉、钨精粉、含铅银精粉、含铜银精粉、锡精粉,有色金属采选及冶炼。
93,428,华天酒店,华天酒店集团股份有限公司,湖南,长沙市,10.63亿,-7069.54万,3354,1996-08-08,--,,酒店,酒店业、房地产业、酒店资产运营,酒店服务业。
94,429,粤高速A,广东省高速公路发展股份有限公司,广东,广州市,30.89亿,17.10亿,2983,1998-02-20,--,,高速公路,公路运输,收费高速公路、桥梁的投资、建设、收费和养护管理。
95,430,张家界,张家界旅游集团股份有限公司,湖南,张家界市,5.50亿,6602.45万,1027,1996-08-29,--,,景区,旅行社服务、旅游客运、旅游服务、酒店服务、租赁服务、销售服务,旅游项目经营；旅游客运；旅行社经营；旅游客运索道经营；其他：酒店经营、房屋租赁、广告代理等。
96,488,晨鸣纸业,山东晨鸣纸业集团股份有限公司,山东,潍坊市,294.72亿,37.59亿,11736,2000-11-20,--,,造纸,制浆、造纸,机制纸及板纸和造纸原料、造纸机械、电力、热力的生产与销售
97,498,山东路桥,山东高速路桥集团股份有限公司,山东,济南市,123.85亿,5.78亿,24686,1997-06-09,--,,路桥建设,路桥工程施工、路桥养护施工、周转材料及设备租赁销售、商品混凝土加工销售、工程设计咨询,路桥工程施工与养护施工。
98,501,武商集团,武商集团股份有限公司,湖北,武汉市,181.22亿,12.41亿,9373,1992-11-20,--,,百货,商品销售,从事购物中心及超市业态的商品销售业务。
99,502,绿景退,绿景控股股份有限公司,广东,广州市,2206.13万,-8477.38万,142,1992-11-23,--,,房地产开发,房地产业(房产销售及租赁)、房地产业(物业管理)、医疗服务,互联网数据中心服务业务。
100,503,国新健康,国新健康保障服务集团股份有限公司,海南,海口市,1.84亿,-29.97万,1572,1992-11-30,--,,电子商务B2B,大健康服务,医药电子商务、医疗福利管理等。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
101,504,南华生物,南华生物医药股份有限公司,湖南,长沙市,6739.30万,-3624.92万,539,1992-12-08,--,,节能环保,节能技术服务、生物医药,生物医药、节能环保。
102,505,京粮控股,海南京粮控股股份有限公司,海南,海口市,79.18亿,2.09亿,2770,1992-12-21,--,,房地产开发,油脂油料、食品制造,油脂油料加工销售及贸易和食品制造。
103,506,中润资源,中润资源投资股份有限公司,山东,济南市,7.69亿,-4.75亿,1482,1993-03-12,--,,黄金,房地产、黄金,以黄金为主要品种的矿业开采与房地产开发建设、销售及自有房产的出租。
104,507,珠海港,珠海港股份有限公司,广东,珠海市,19.60亿,1.66亿,5608,1993-03-26,--,,港口,码头运营服务、物流贸易、物流服务、物业管理、综合能源、饮料食品,港口的投资、运营以及船舶运输等业务;电力能源、新能源产业以及管道燃气;港城建设、物业管理及生产制造。
105,509,华塑控股,华塑控股股份有限公司,四川,成都市,22.41亿,1237.43万,464,1993-05-07,--,,其他建材,电子产品、医疗服务、房租收入、会展服务收入及其他,全科医疗服务及舞台美术视觉呈现、视觉工程制作实施等相关业务、电子信息显示终端的研发、设计、生产和销售服务业务。
106,510,新金路,四川新金路集团股份有限公司,四川,德阳市,17.28亿,4228.80万,2396,1993-05-07,--,,氯碱,氯乙烯树脂、碱,从事PVC树脂和烧碱的生产与销售。
107,513,丽珠集团,丽珠医药集团股份有限公司,广东,珠海市,85.31亿,44.88亿,8693,1993-10-28,--,,化学制剂,化学制剂、生物药、原料药及中间体、中药制剂、诊断试剂及设备,医药产品的研发、生产及销售。
108,514,渝开发,重庆渝开发股份有限公司,重庆,重庆市,10.41亿,9849.10万,831,1993-07-12,--,,房地产开发,房地产业、租赁和商务服务业,主要从事房地产开发与销售业务。
109,516,国际医学,西安国际医学投资股份有限公司,陕西,西安市,40.60亿,1.90亿,8116,1993-08-09,--,,百货,医疗、软件和信息技术服务,大健康医疗服务和现代医学技术转化应用。
110,517,荣安地产,荣安地产股份有限公司,浙江,宁波市,42.64亿,5.42亿,1155,1993-08-06,--,,房地产开发,房屋销售,房地产开发、经营；建设工程承包等。
111,518,四环生物,江苏四环生物股份有限公司,江苏,无锡市,3.46亿,1065.03万,254,1993-09-08,--,,生物医药,注射剂、药品、用材林、景观工程、养护工程,从事生物医药制品、生产和销售以及绿化园林工程业务。
112,519,中兵红箭,中兵红箭股份有限公司,湖南,湘潭市,47.75亿,1.20亿,8585,1993-10-08,--,,超硬材料,超硬材料及其制品、特种装备、改装汽车、汽车零部件,超硬材料及其制品和内燃机配件的研发、生产、销售。
113,520,长航凤凰,长航凤凰股份有限公司,湖北,武汉市,8.32亿,5081.98万,119,1993-10-25,--,,航运,干散货运输、船员派遣服务、资产出租,干散货航运及港航物流服务业。
